village,gender,primary_water_source,distance_in_meters
Kabong'o,Male,HFHK Solar Borehole/Kiosk,542.6
Kabong'o,Female,HFHK Solar Borehole/Kiosk,498.98
Kabong'o,Female,HFHK Solar Borehole/Kiosk,73.51
Kabong'o,Female,HFHK Solar Borehole/Kiosk,436.8
Kokech,Female,HFHK Solar Borehole/Kiosk,438.42
Kokech,Female,HFHK Solar Borehole/Kiosk,295.84
Kogola East,Female,HFHK Solar Borehole/Kiosk,26.87
Kokech,Male,HFHK Solar Borehole/Kiosk,116.45
Kabong'o,Male,HFHK Solar Borehole/Kiosk,506.57
Kabong'o,Male,HFHK Solar Borehole/Kiosk,568.93
Kabong'o,Female,HFHK Solar Borehole/Kiosk,208.17
Kokech,Female,HFHK Solar Borehole/Kiosk,241.81
Borda,Female,HFHK Solar Borehole/Kiosk,491.16
Kabong'o,Male,HFHK Solar Borehole/Kiosk,441.01
Kaswa,Male,Piped HFHK Water,15.67
Kaswa,Female,HFHK Solar Borehole/Kiosk,193.86
Kabong'o,Female,HFHK Solar Borehole/Kiosk,517.48
Kabong'o,Female,HFHK Solar Borehole/Kiosk,462.03
Borda,Male,HFHK Solar Borehole/Kiosk,495.35
Kabong'o,Male,HFHK Solar Borehole/Kiosk,458.32
Kabong'o,Male,HFHK Solar Borehole/Kiosk,424.04
Borda,Female,HFHK Solar Borehole/Kiosk,295.05
Kaswa,Male,HFHK Solar Borehole/Kiosk,216.23
Kabong'o,Male,HFHK Solar Borehole/Kiosk,254.61
Kogola East,Male,HFHK Solar Borehole/Kiosk,386.27
Kaswa,Female,HFHK Solar Borehole/Kiosk,485.96
Borda,Female,HFHK Solar Borehole/Kiosk,174.52
Kaswa,Female,HFHK Solar Borehole/Kiosk,519.18
Kokech,Male,HFHK Solar Borehole/Kiosk,433.08
Kogola East,Female,HFHK Solar Borehole/Kiosk,226.51
Kabong'o,Female,HFHK Solar Borehole/Kiosk,872.72
Kogola East,Female,HFHK Solar Borehole/Kiosk,184.75
Kaswa,Male,HFHK Solar Borehole/Kiosk,244.34
Kaswa,Female,HFHK Solar Borehole/Kiosk,214.19
Kabong'o,Female,HFHK Solar Borehole/Kiosk,751.92
Kogola East,Male,HFHK Solar Borehole/Kiosk,16.24
Kabong'o,Female,HFHK Solar Borehole/Kiosk,369.29
Kabong'o,Male,HFHK Solar Borehole/Kiosk,608.89
Kaswa,Female,HFHK Solar Borehole/Kiosk,402.44
Kabong'o,Female,HFHK Solar Borehole/Kiosk,270.91
Kogola East,Female,HFHK Solar Borehole/Kiosk,132.87
Kabong'o,Male,HFHK Solar Borehole/Kiosk,469.54
Kaswa,Male,HFHK Solar Borehole/Kiosk,115.84
Kabong'o,Female,HFHK Solar Borehole/Kiosk,643.72
Kogola East,Female,HFHK Solar Borehole/Kiosk,46.73
Kagola West,Male,HFHK Solar Borehole/Kiosk,119.01
Kaswa,Male,HFHK Solar Borehole/Kiosk,228.52
Kaswa,Male,HFHK Solar Borehole/Kiosk,149.21
Kogola East,Male,HFHK Solar Borehole/Kiosk,80.72
Kagola West,Female,HFHK Solar Borehole/Kiosk,35.4
Kabong'o,Male,HFHK Solar Borehole/Kiosk,518.25
Kaswa,Female,HFHK Solar Borehole/Kiosk,19.17
Kabong'o,Female,HFHK Solar Borehole/Kiosk,694.14
Kagola West,Male,HFHK Solar Borehole/Kiosk,46.94
Kagola West,Female,Piped HFHK Water,112.24
Kabong'o,Male,HFHK Solar Borehole/Kiosk,383.07
Kabong'o,Male,HFHK Solar Borehole/Kiosk,694.52
Kagola West,Female,Piped HFHK Water,181.23
Kabong'o,Female,HFHK Solar Borehole/Kiosk,217.52
Borda,Female,HFHK Solar Borehole/Kiosk,542.14
