village,primary_water_source,n,pct
Borda,HFHK Solar Borehole/Kiosk,16,69.6
Borda,Open wells in homesteads,5,21.7
Borda,Piped HFHK Water,2,8.7
Kabong'o,HFHK Solar Borehole/Kiosk,49,58.3
Kabong'o,Open wells in homesteads,31,36.9
Kabong'o,Piped HFHK Water,1,1.2
Kabong'o,Protected public wells,3,3.6
Kagola West,HFHK Solar Borehole/Kiosk,19,30.6
Kagola West,Open wells in homesteads,20,32.3
Kagola West,"Others, specify",2,3.2
Kagola West,Piped HFHK Water,4,6.5
Kagola West,Protected public wells,16,25.8
Kagola West,Rainwater Harvesting,1,1.6
Kaswa,HFHK Solar Borehole/Kiosk,16,61.5
Kaswa,Open wells in homesteads,6,23.1
Kaswa,Piped HFHK Water,2,7.7
Kaswa,Protected public wells,2,7.7
Kogola East,HFHK Solar Borehole/Kiosk,10,32.3
Kogola East,Open wells in homesteads,9,29
Kogola East,Protected public wells,12,38.7
Kokech,HFHK Solar Borehole/Kiosk,13,24.1
Kokech,Open wells in homesteads,21,38.9
Kokech,Protected public wells,20,37
