village,gender_hh,place_to_wash_hands,n,pct
Borda,Female,No,3,25
Borda,Female,Yes,9,75
Borda,Male,Yes,11,100
Kabong'o,Female,Yes,42,100
Kabong'o,Male,Yes,42,100
Kagola West,Female,No,1,3.2
Kagola West,Female,Yes,30,96.8
Kagola West,Male,No,2,6.5
Kagola West,Male,Yes,29,93.5
Kaswa,Female,No,5,38.5
Kaswa,Female,Yes,8,61.5
Kaswa,Male,No,2,15.4
Kaswa,Male,Yes,11,84.6
Kogola East,Female,No,1,6.7
Kogola East,Female,Yes,14,93.3
Kogola East,Male,No,2,12.5
Kogola East,Male,Yes,14,87.5
Kokech,Female,Yes,27,100
Kokech,Male,Yes,27,100
