enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Water borne deseases has stopped ,Yes,The canals have channeled the water to the lake,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene education and training ,Inadequate supply of hand washing materials ,Improved sanitation ,No
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,It's flooded during the rain season ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,1,0,,Yes,They is no water born disease like typhoid ,Yes,It's affected crap with the homestead due to high rainfall ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,0,1,0,1,0,,It's reduced water logging within the area,More canals should be prepared ,It's reduced water born diseases and they is no contaminated water around the areas ,Yes
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),"Other, Specify",House wife,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,The Latrine usually sinks during floods/raining season,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"After hygiene training,we have been practicing the knowledge acquired .",No,,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Hygiene education and training,"More water kiosks are still required,more improved habitat Latrines and continuous desilting.",Proper Management of floods because of desilting.,No
Samuel Muga,Kogola East,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,No,,,,,,1,1,0,0,1,0,,Yes,We have installed cleaning containers for hand washing ,Yes,"During the rainy season, the overflow finds its way to the farms, which later destroy our crops ",Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water ,"Distance from the kiosk may not allow me use this project water every day, lack of ready cash to buy soap for hand wash ",The project has built me a flood resilient latrines. ,No
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"Reduction in water airborne diseases 
Improved hygiene skills ",No,,Store water/food ,,Not sure,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,1,1,0,1,0,,Improved hygiene skills and techniques,Poor  blocked drainage system ,"Access to clean water
Improved hygiene skills 
Reduction in water airborne diseases ",No
Joy Dawince Otieno,Kabong'o,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,It's flooded during rain season,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,1,0,,Yes,"They is no water born diseases like cholera, typhoid",No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,0,1,0,1,0,,No diseases and improving on contaminated water due to good drainage,Same household are still fare away from water kiosk that could not allow them to get water,Improved hygiene skills,Yes
Janet Wesonga,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during flood,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Reduction of cholera,Yes,Decilting of canals reduces flood.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness,1,1,0,1,0,0,,Reduction of water born desease.,Water point are not enough.,Access to clean water.,No
Judith Onyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,He make sure everything are clean and they treat water,Yes,Damaged of crops ,Store water/food ,,No,,No,,,,,,,,He doesn't use them,Water ,The distance of water is too far ,To increase of hygiene in house ,Yes
Tom Akumu,Kabong'o,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,By drinking clean water,Yes,Water flows to the canals,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean water,Lack of hand washing materials,Improved hygiene,Not Sure
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood seasons,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,"Reduction of diseases like diaorrrea,water born diseases",Not Sure,,Store water/food ,,No,,Yes,Hygiene education / training Improved sanitation facilities Flood preparedness awareness Access to clean water points (Kiosks),1,1,1,1,0,0,,Access to clean water kioks,"Blocked drainage system which causes floods
Lack of access to water guard etc","Improved hygiene skills and sanitation,access to water",No
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during heavy rain.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Access to clean water,Yes,Crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Hygiene improvement,Not enough more to be added.,Reduction of water born deseases,No
