enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,20–50 litres ,Daily,>1 hour,30–60 min ,Less,Shorter queues,0,1,0,0,0,,Yes,School attendance (especially girls)  Income generating activities ,1,0,1,0,0,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Water flows along canals,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men,1,1,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,1,0,1,1,0,0,0,0,0,,Yes,Improved hygiene ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings Planted trees along canals,1,1,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Distil the canals and use early warnings,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Much better protected,,542.6
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,No,,,,,,,,,No,Farming/fishing yields ,1,0,0,0,0,0,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,Yes,It's reduced stagnant water in the area due to good canals ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After cleaning the environment Before eating food,0,0,1,0,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,Much less safe ,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles ,1,0,0,0,0,Somewhat usefu,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Somewhat effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,By putting the property in high level that cannot be destroyed by water.,Yes,Canal Committee SMS/radio,1,0,0,1,0,Much better protected,,647.47
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),"Other, Specify",House wife,"0 - 10,000",Yes,51–100 litres ,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Farming/fishing yields ,1,0,0,0,0,0,0,,No change ,Yes,,No,,Yes,Yes,"Before the project ,people used to fight while dyking or desilting manually but that has been drastically reduced.",,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,0,1,1,1,1,0,1,0,,Yes,My family rarely visit the hospital because diarrhea,,No,,Yes,,,No,No change ,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,No change ,No change,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,402.14
Samuel Muga,Kogola East,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,Rarely,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,Am not using the project water because it's far from me.,No change ,Yes,,No,,Yes,Yes,"The kiosk is placed at a neutral position, meaning that members have equal rights to access water without quarrel ",,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,No,,,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Sometimes ,Often,Often,Yes,Adult women Youth Adult men,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,"Reduction of the rate of infection amongst family members, the spread of germs is highly minimized. ",,No,,"Some, but not all",,"I may lack cash to buy soap for hand washing at the required time, ",No,No change ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,No change,Damaged,No change,No effect,,,Yes,Crop loss,0,1,0,0,0,,"To carry out a regular desilting around the farms, raise all the household property above the ground ",Not sure,,,,,,,Somewhat better protected,,373.21
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"20,001 and Above",Yes,51–100 litres ,Never,30–60 min ,30–60 min ,Same,,,,,,,,Yes,Income generating activities  Household chores  Childcare  Rest/Leisure ,1,1,0,1,1,0,,Yes, Health  Paid maintenance jobs  Livestock ,0,0,1,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,"Long queues has been  reduced
",,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom Before preparing food Before eating food,1,1,0,1,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,Much less safe ,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals,1,1,0,1,0,0,0,0,,No,,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles ,1,1,0,0,0,,,,,,,,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,No,,,,,,,Somewhat better protected,,684.5
Joy Dawince Otieno,Kabong'o,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,No,,,,,,,,,Yes,Small businesses  Farming/fishing yields ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,They is no flooding due good canals,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After cleaning the environment Before preparing food Before eating food,0,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,1,0,0,1,0,0,,Not sure,,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles ,1,0,0,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,"Make a small canal on a homestead to allow water to move 
Raised the property on high level that cannot destroyed by water",Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,531.15
Janet Wesonga,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores ,1,1,1,1,0,0,,Yes,Farming/fishing yields  Livestock   Health ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Shorter queue,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before eating food,1,1,1,0,1,,Often,Often,Sometimes ,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Store water safely in clean, covered containers Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Practice safe disposal of child feces Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,1,0,1,1,1,0,,Yes,Reduction of water born desease,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals,1,1,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse Water source contamination Property damage,1,1,1,1,0,,Raised household propertie,Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,498.98
Judith Onyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,20–50 litres ,Never,<30 min ,<30 min,Same,,,,,,,,No,,,,,,,,,No, Health  Education ,0,0,0,1,1,0,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,No,,,Water Committee,Water Committee,Water Committee,No,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,1,1,1,1,0,0,0,0,0,,Yes,It reduce diseases ,,No,,Yes,,,No,Much safer,Stored food/water in advance Planted trees along canals Raised household belongings,1,1,0,0,0,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,No effect,,,Yes,Property damage Crop loss Water source contamination,1,1,1,0,0,,Prepare canals to allow flowing of water ,Yes,Government official SMS/radio,0,0,1,1,0,Somewhat better protected,,738.93
Tom Akumu,Kabong'o,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Reduced cost Improved quality ,0,0,1,1,0,,Yes,School attendance (especially girls)  Income generating activities ,1,0,1,0,0,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Improved sanitation,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food,1,1,1,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean",1,1,1,1,1,0,1,0,0,0,,Yes,Reduction of water borne deseases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings Planted trees along canals,1,1,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Distil the canals,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,73.51
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Rest/Leisure  Childcare ,1,1,0,0,1,0,,Yes,Farming/fishing yields  Paid maintenance jobs ,1,0,1,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Reduced long distance of fetching water,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Often,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap before eating or preparing food Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,0,1,0,1,1,0,1,0,,Yes,Reduction in water born diseases or diaorrrea,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Dug or cleared drainage/canals Raised household belongings,1,1,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs ,0,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee,1,0,0,0,0,Somewhat better protected,,754.63
