village,gender_hh,primary_water_source,distance_in_meters
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,542.6
Kabong'o,Female,Open wells in homesteads,647.47
Kokech,Female,Open wells in homesteads,402.14
Kogola East,Male ,Open wells in homesteads,373.21
Kagola West,Female,Open wells in homesteads,684.5
Kabong'o,Female,Open wells in homesteads,531.15
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,498.98
Borda,Female,Open wells in homesteads,738.93
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,73.51
Kagola West,Male ,Open wells in homesteads,754.63
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,436.8
Kaswa,Female,Open wells in homesteads,708.48
Kabong'o,Female,Open wells in homesteads,13.45
Kokech,Male ,Protected public wells ,213.67
Borda,Male ,Open wells in homesteads,749.1
Kagola West,Male ,Protected public wells ,642.43
Kabong'o,Male ,Open wells in homesteads,113.13
Kaswa,Male ,Open wells in homesteads,600.88
Kokech,Female,HFHK Solar Borehole/Kiosk ,438.42
Kokech,Female,HFHK Solar Borehole/Kiosk ,295.84
Kogola East,Female,HFHK Solar Borehole/Kiosk ,26.87
Kokech,Female,Open wells in homesteads,287.96
Kokech,Male ,HFHK Solar Borehole/Kiosk ,116.45
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,506.57
Kabong'o,Female,Open wells in homesteads,236.69
Kogola East,Female,Open wells in homesteads,476.18
Borda,Female,Open wells in homesteads,535.27
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,568.93
Kagola West,Female,Open wells in homesteads,372.58
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,208.17
Kabong'o,Female,Open wells in homesteads,415.66
Kokech,Female,HFHK Solar Borehole/Kiosk ,241.81
Borda,Female,HFHK Solar Borehole/Kiosk ,491.16
Kogola East,Male ,Open wells in homesteads,495.71
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,441.01
Kaswa,Male ,Piped HFHK Water,15.67
Kagola West,Female,Open wells in homesteads,235.84
Kabong'o,Male ,Open wells in homesteads,534.19
Kokech,Male ,Protected public wells ,621.96
Kabong'o,Male ,Open wells in homesteads,511.71
Kogola East,Female,Protected public wells ,627.85
Kaswa,Female,HFHK Solar Borehole/Kiosk ,193.86
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,517.48
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,462.03
Borda,Male ,HFHK Solar Borehole/Kiosk ,495.35
Kokech,Female,Protected public wells ,712.37
Kagola West,Female,Open wells in homesteads,390.67
Kogola East,Female,Protected public wells ,786.2
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,458.32
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,424.04
Borda,Female,HFHK Solar Borehole/Kiosk ,295.05
Kagola West,Female,Open wells in homesteads,444.1
Kaswa,Male ,HFHK Solar Borehole/Kiosk ,216.23
Kabong'o,Male ,HFHK Solar Borehole/Kiosk ,254.61
Kogola East,Male ,HFHK Solar Borehole/Kiosk ,386.27
Kaswa,Female,HFHK Solar Borehole/Kiosk ,485.96
Borda,Female,HFHK Solar Borehole/Kiosk ,174.52
Kokech,Female,Protected public wells ,800.05
Kokech,Male ,Open wells in homesteads,316.26
Kokech,Female,Protected public wells ,598.15
Kaswa,Female,HFHK Solar Borehole/Kiosk ,519.18
Kokech,Female,Open wells in homesteads,452.42
Kokech,Male ,Open wells in homesteads,469.47
Kogola East,Female,Open wells in homesteads,287.02
Kokech,Male ,HFHK Solar Borehole/Kiosk ,433.08
Kogola East,Female,HFHK Solar Borehole/Kiosk ,226.51
Kabong'o,Female,HFHK Solar Borehole/Kiosk ,872.72
Kogola East,Female,HFHK Solar Borehole/Kiosk ,184.75
